,Tables,Count
231,688 277 774 ,7368
232,817 111 ,7352
233,699 277 277 277 466 466 638 101 811 759 481 221 199 564 ,7340
234,277  -1 711 711 638 343 343 811 209 70 759 ,7280
235,689 277 145 27 811 759 50 441 208 ,7264
236,730 730 466 711 638 343 200 200 811 209 663 663 ,7249
237,505 505 164 401 502 145 651 24 1 ,7152
238,638 543 27 811 209 759 ,7125
239,218  -1 511 638 811 759 ,7024
240,466 711 638 343 200 811 ,6985
241,638 811 759 481 512 165 ,6955
242,127 466 681 811 ,6945
243,699 277 ,6894
244,178 543 543 649 ,6891
245, -1 213 398 145 24 24 93 1 409 676 ,6888
246, -1  -1 31 28 28 505 505 505 207 164 164 164 401 401 753 534 534 502 ,6888
247,31 505 207 502 651 ,6888
248,243 277  -1 278 630 811 663 759 481 512 ,6824
249, -1 466 638 817 200 644 328 682 481 ,6812
250,565 767 354 ,6808
251,774 638 ,6755
252,466 638 543 649 811 759 759 ,6752
253,730 200 539 663 ,6747
254,212 316 166 166 485 649 ,6744
255,243 277 466 466 638 811 ,6740
256,496 513 127  -1  -1  -1  -1  -1  -1  -1  -1 466 466 711 511 638 343 166 649 811 209 70 759 759 759 481 481 481 ,6720
257,277 178 466 638 649 811 ,6675
258,466 711 711 638 343 555 200 811 209 209 644 ,6664
259,638 797 799 580 811 ,6648
260, -1  -1  -1 ,6642
261,638 543 649 ,6634
262,243 466 638 811 759 512 165 ,6609
263,277 277 277 277 277 277 277 277 746 97 811 209 ,6580
264,739 728 ,6574
265,730 638 555 200 663 663 ,6565
266,277 277 746 746 811 209 512 ,6528
267,377 60 659 102 565  -1 309 765 ,6528
268,791 495 111 ,6526
269,638 24 543 649 811 149 521 150 806 806 ,6507
270,745 454 24 409 759 ,6500
271, -1 506 ,6485
272,127 681 ,6472
273,178 466 638 649 811 ,6464
274,638 811 293 674 45 114 ,6455
275, -1 218 466 711 638 343 273 817 166 543 543 649 811 209 759 759 ,6438
276,27 811 811 759 441 208 55 ,6413
277,243 638 811 811 512 ,6378
278,730 513 127 218  -1 711 511 638 817 200 811 552 663 759 481 519 49 ,6375
279,730 218  -1 711 511 638 817 817 200 811 552 663 682 759 481 519 49 ,6375
280,218 638 811 ,6364
281,27 811 811 811 441 208 55 ,6364
282,558 166 145 543 93 649 ,6335
283,730 257 811 209 663 ,6300
284,689 277 277 638 27 811 209 759 785 ,6280
285,711 343 555 200 811 209 551 318 552 149 ,6239
286,505 401 398 145 651 24 1 ,6232
287,513 127 146 344 178 466 638 681 207 207 401 23 649 811 474 185 ,6216
288,638 811 293 674 45 114 73 ,6204
289,730 811 663 ,6202
290,277 277 277 277 466 316 758 166 145 811 759 ,6180
291,466 469 123 776 113 87 ,6155
292, -1 79 ,6148
293, -1 333 749 334 590 78 710 ,6112
294, -1 774 316 638 166 649 ,6104
295,366 716 127  -1  -1 466 638 805 811 156 303 644 167 759 342 ,6100
296,745 454 178  -1  -1  -1  -1 638 174 651 620 649 ,6097
297,466 466 638 555 811 811 149 521 729 349 ,6088
298,466 638 ,6062
299,243 277 466 638  -1 811 811 481 765 ,6060
300,466 316 638 166 578 380 649 811 759 759 ,6057
301,774 166 649 811 759 ,6048
302,466 575 316 638 638 811 674 45 114 ,6042
303,811 209 663 149 521 ,6036
304,464 72 466 638 817 817 811 609 ,6020
305,447 324 350 109 ,5964
306,277 812 222 758 811 811 ,5956
307,212 730  -1 466 638 28 222 758 166 649 811 663 759 ,5952
308,730 555 200 811 811 811 124 249 663 663 663 149 149 149 599 521 806 806 806 806 806 806 36 ,5936
309, -1 466 711 638 343 166 166 145 649 811 209 759 56 ,5918
310,638 644 ,5909
311,277  -1 466 638 469 811 123 113 759 87 ,5888
312,689 277 ,5855
313,277 638 343 166 649 811 209 552 759 481 ,5814
314,243 277 746 97 60 466 638 811 759 759 ,5776
315,277 466 638 237 811 190 ,5775
316,186 264 573 166 775 292 759 759 759 759 759 759 759 759 759 759 759 118 ,5747
317,200 759 122 ,5712
318,243 277 466 638 811 759 512 165 ,5710
319,811 612 ,5701
320,638 649 811 209 ,5700
321,817 328 682 759 481 ,5688
322,274 243 243 277 277  -1 638 759 ,5685
323,277  -1 466 511 638 811 759 759 ,5680
324, -1 466 638 27 811 759 759 50 441 208 208 ,5677
325,811 759 ,5677
326,277 466 649 811 ,5661
327,730 730 466 466 711 511 511 638 549 200 811 811 209 209 663 759 ,5655
328,638 649 811 759 ,5649
